oFEqDA,,S2FyYW0gUHVjaGk=,,,,,S2FyYW0gUHVjaGk=,,S2FyYW0gUHVjaGk=
1VIqDA,,W0l2b2thIFNrdWRpXQpIYXZlIHlvdSBldmVyIHJlY2VpdmVkIGV2ZW4gb25lIG9mIHRob3NlPwpEaWQgeW91IGV2ZW4gZ2V0IGFueSBleHRyYSBmb29kIGluIGhlcmU/IQ==,,,,,W0l2b2thIFNrdWRpXQpWb2PDqiBqw6EgcmVjZWJldSBhbGd1bWEgZGVzc2FzPwpWb2PDqiBqw6EgcmVjZWJldSBhbGd1bWEgY29taWRhIGV4dHJhIGFxdWkgZGVudHJvPyE=,,W0l2b2thIFNrdWRpXQrCv0hhcyByZWNpYmlkbyBzaXF1aWVyYSB1bmEgZGUgZXNhcz8KwqHCv1NpcXVpZXJhIHJlY2liaXN0ZSBjb21pZGEgZXh0cmEgYXF1w60gYWRlbnRybz8h
1lIqDA,,Li4uSnVzdCBvbmUgcmVxdWVzdC4=,,,,,Li4uQXBlbmFzIHVtIHBlZGlkby4=,,Li4uU29sbyB1bmEgcGV0aWNpw7NuLg==
11IqDA,,W0pvaG5ueSBKYW1lc10KSSdsbCB0ZWxsIHlvdSB0aGUgb3JlJ3MgbG9jYXRpb24uCkJ1dCB5b3UgaGF2ZSB0byByZWxlYXNlIG1lLgpBbmQgdGhlcmUncyBhIGNvbmRpdGlvbi4=,,,,,W0pvaG5ueSBKYW1lc10KVm91IHRlIGNvbnRhciBhIGxvY2FsaXphw6fDo28gZG8gbWluw6lyaW8uCk1hcyB2b2PDqiB0ZW0gcXVlIG1lIHNvbHRhci4KRSBow6EgdW1hIGNvbmRpw6fDo28u,,W0pvaG5ueSBKYW1lc10KVGUgZGlyw6kgbGEgdWJpY2FjacOzbiBkZWwgbWluZXJhbC4KUGVybyB0aWVuZXMgcXVlIGxpYmVyYXJtZS4KWSBoYXkgdW5hIGNvbmRpY2nDs24u
2FIqDA,,U2F5IGFueXRoaW5nLg==,,,,,RGlnYSBxdWFscXVlciBjb2lzYS4=,,RGkgbG8gcXVlIHNlYS4=
2VIqDA,,W0pvaG5ueSBKYW1lc10KQWxiZXJ0Li4gdGhhdCBiZXRyYXllciwgY2FuIHlvdSB0YWtlIGhpbSBvdXQ/CkknbGwgdGVsbCB5b3UgdGhlIGNvZGUgdG8gY2FsbCBvdXQgQWxiZXJ0IHdobydzIGhpZGluZyBpbiBoaXMgaGlkZW91dC4=,,,,,W0pvaG5ueSBKYW1lc10KQWxiZXJ0Li4gYXF1ZWxlIHRyYWlkb3IsIHZvY8OqIHBvZGUgZWxpbWluw6EtbG8/ClZvdSB0ZSBjb250YXIgbyBjw7NkaWdvIHBhcmEgY2hhbWFyIG8gQWxiZXJ0IHF1ZSBlc3TDoSBlc2NvbmRpZG8gZW0gc2V1IGVzY29uZGVyaWpvLg==,,W0pvaG5ueSBKYW1lc10KQWxiZXJ0Li4gZXNlIHRyYWlkb3IsIMK/cHVlZGVzIGVsaW1pbmFybG8/ClRlIGRpcsOpIGVsIGPDs2RpZ28gcGFyYSBsbGFtYXIgYSBBbGJlcnQgcXVlIHNlIGVzY29uZGUgZW4gc3UgZ3VhcmlkYS4=
2lIqDA,,W0pvaG5ueSBKYW1lc10KXjRENERGRkhpdCB0aGUgaW5kZW50ZWQgcm9jayBhdCB0aGUgbWluZSBlbnRyYW5jZSB0aHJlZSB0aW1lc14wMDAwMDAgYW5kIEFsYmVydCB3aWxsIGNvbWUgb3V0LgpUaGVuIHRha2UgaGltIG91dC4=,,,,,W0pvaG5ueSBKYW1lc10KXjRENERGRlRyYWdhIGEgcGVsYWdlbSBkYSBjcmluYSBkYXF1ZWxlIGJhc3RhcmRvXjAwMDAwMC4KU2UgZXUgc2FpciBkYSBjYWRlaWEgZSBvIEFsYmVydCBhaW5kYSBlc3RpdmVyIGFxdWksIG7Do28gdGVyZWkgbWluaGEgcG9zacOnw6NvIGRlIHF1YWxxdWVyIG1hbmVpcmEuCkVsZSBwcmVjaXNhIGRlc2FwYXJlY2VyLg==,,W0pvaG5ueSBKYW1lc10KXjRENERGRkdvbHBlYSBsYSByb2NhIGh1bmRpZGEgZW4gbGEgZW50cmFkYSBkZSBsYSBtaW5hIHRyZXMgdmVjZXNeMDAwMDAwIHkgQWxiZXJ0IHNhbGRyw6EuCkx1ZWdvIGVsaW3DrW5hbG8u
21IqDA,,W0pvaG5ueSBKYW1lc10KXjRENERGRkJyaW5nIG1lIHRoYXQgYmFzdGFyZCdzIG1hbmUgZnVyXjAwMDAwMC4KSWYgSSBnZXQgb3V0IG9mIGphaWwgYW5kIEFsYmVydCBpcyBzdGlsbCBoZXJlLCBJIHdvbid0IGhhdmUgbXkgcG9zaXRpb24gYW55d2F5LgpIZSBuZWVkcyB0byBkaXNhcHBlYXIu,,,,,W0pvaG5ueSBKYW1lc10KXjRENERGRlRyYWdhIGEgcGVsYWdlbSBkYSBqdWJhIGRhcXVlbGUgYmFzdGFyZG9eMDAwMDAwLgpTZSBldSBzYWlyIGRhIGNhZGVpYSBlIG8gQWxiZXJ0IGFpbmRhIGVzdGl2ZXIgYXF1aSwgbsOjbyB0ZXJlaSBtaW5oYSBwb3Npw6fDo28gZGUgcXVhbHF1ZXIgbWFuZWlyYS4KRWxlIHByZWNpc2EgZGVzYXBhcmVjZXIu,,W0pvaG5ueSBKYW1lc10KXjRENERGRlRyw6FlbWUgZWwgcGVsYWplIGRlIGxhIG1lbGVuYSBkZSBlc2UgYmFzdGFyZG9eMDAwMDAwLgpTaSBzYWxnbyBkZSBsYSBjw6FyY2VsIHkgQWxiZXJ0IHRvZGF2w61hIGVzdMOhIGFxdcOtLCBubyB0ZW5kcsOpIG1pIHBvc2ljacOzbiBkZSB0b2RvcyBtb2Rvcy4Kw4lsIG5lY2VzaXRhIGRlc2FwYXJlY2VyLg==
3FIqDA,,W0pvaG5ueSBKYW1lc10KSSdsbCB0ZWxsIHlvdSB0aGUgaGlkZGVuIG9yZSBsb2NhdGlvbiBhZnRlciB0aGF0Lg==,,,,,W0pvaG5ueSBKYW1lc10KVm91IHRlIGNvbnRhciBhIGxvY2FsaXphw6fDo28gZXNjb25kaWRhIGRvIG1pbsOpcmlvIGRlcG9pcyBkaXNzby4=,,W0pvaG5ueSBKYW1lc10KVGUgZGlyw6kgbGEgdWJpY2FjacOzbiBkZWwgbWluZXJhbCBvY3VsdG8gZGVzcHXDqXMgZGUgZXNvLg==
3VIqDA,,TmVnb3RpYXRpb24gY29tcGxldGUgd2l0aCB0aGlzLg==,,,,,W0pvaG5ueSBKYW1lc10gLi4uRHJvZ2EuLiBOw6NvIG91c2UgbW9zdHJhciBzdWEgY2FyYSBwb3IgYXF1aSBub3ZhbWVudGUgYXTDqSBxdWUgdm9jw6ogbWUgdHJhZ2EgXjRENERGRmEgcGVsdWdlbSBkYSBjcmluYSBkbyBBbGJlcnReMDAwMDAwISBTZSB0ZXJtaW5vdSwgc3VtYSE=,,TmVnb2NpYWNpw7NuIGNvbXBsZXRhIGNvbiBlc3RvLg==
3lIqDA,,W0pvaG5ueSBKYW1lc10KLi4uRGFtbWl0Li4KRG9uJ3QgeW91IGRhcmUgc2hvdyB5b3VyIGZhY2UgYXJvdW5kIGhlcmUgYWdhaW4gdW50aWwgeW91IGJyaW5nIG1lIF40RDRERkZBbGJlcnQncyBtYW5lIGZ1cl4wMDAwMDAhCklmIHlvdSdyZSBkb25lLCBnZXQgbG9zdCE=,,,,,W0pvaG5ueSBKYW1lc10KTsOjbyBvdXNlIG1vc3RyYXIgc3VhIGNhcmEgcG9yIGFxdWkgbm92YW1lbnRlIGF0w6kgcXVlIHZvY8OqIG1lIHRyYWdhIF40RDRERkZhIHBlbHVnZW0gZGEgY3JpbmEgZG8gQWxiZXJ0XjAwMDAwMCEKU2UgdGVybWlub3UsIHN1bWEh,,W0pvaG5ueSBKYW1lc10KLi4uTWFsZGl0YSBzZWEuLgrCoU5vIHRlIGF0cmV2YXMgYSBtb3N0cmFyIHR1IGNhcmEgcG9yIGFxdcOtIG90cmEgdmV6IGhhc3RhIHF1ZSBtZSB0cmFpZ2FzIF40RDRERkZlbCBwZWxhamUgZGUgbGEgbWVsZW5hIGRlIEFsYmVydF4wMDAwMDAhCsKhU2kgdGVybWluYXN0ZSwgcGnDqXJkZXRlIQ==
31IqDA,,W0pvaG5ueSBKYW1lc10KRG9uJ3QgeW91IGRhcmUgc2hvdyB5b3VyIGZhY2UgYXJvdW5kIGhlcmUgYWdhaW4gdW50aWwgeW91IGJyaW5nIG1lIF40RDRERkZBbGJlcnQncyBtYW5lIGZ1cl4wMDAwMDAhCklmIHlvdSdyZSBkb25lLCBnZXQgbG9zdCE=,,,,,W0pvaG5ueSBKYW1lc10KTsOjbyBvdXNlIG1vc3RyYXIgc3VhIGNhcmEgcG9yIGFxdWkgbm92YW1lbnRlIGF0w6kgcXVlIHZvY8OqIG1lIHRyYWdhIF40RDRERkZhIHBlbHVnZW0gZGEganViYSBkbyBBbGJlcnReMDAwMDAwIQpTZSB0ZXJtaW5vdSwgc3VtYSE=,,W0pvaG5ueSBKYW1lc10KwqFObyB0ZSBhdHJldmFzIGEgbW9zdHJhciB0dSBjYXJhIHBvciBhcXXDrSBvdHJhIHZleiBoYXN0YSBxdWUgbWUgdHJhaWdhcyBeNEQ0REZGZWwgcGVsYWplIGRlIGxhIG1lbGVuYSBkZSBBbGJlcnReMDAwMDAwIQrCoVNpIHRlcm1pbmFzdGUsIHBpw6lyZGV0ZSE=
4FIqDA,,W0pvaG5ueSBKYW1lc10KVGhhdCBkaXJ0eSBiZXRyYXllciEKSSByZW1lbWJlciBoaW0gY2Fja2xpbmcgdGhhdCBoZSdkIGxpdmUgbG9uZ2VyIHRoYW4gbWUgd2hlbiBoZSBkcmlua3Mh,,,,,W0pvaG5ueSBKYW1lc10KTyBjYXJhIG1lIG9ic2VydmFuZG8gZGUgZm9yYSBkYXMgZ3JhZGVzIGFwb250b3UgbyBkZWRvIHBhcmEgbWltIQpPIHF1ZSBhcXVlbGUgYmFzdGFyZG8gZG8gQWxiZXJ0IGZlej8h,,W0pvaG5ueSBKYW1lc10KwqFFc2Ugc3VjaW8gdHJhaWRvciEKwqFMbyByZWN1ZXJkbyByaWVuZG8gYSBjYXJjYWphZGFzIGRpY2llbmRvIHF1ZSB2aXZpcsOtYSBtw6FzIHF1ZSB5byBjdWFuZG8gYmViZSE=
4VIqDA,,W0pvaG5ueSBKYW1lc10KVGhlIGd1eSB3YXRjaGluZyBtZSBmcm9tIG91dHNpZGUgdGhlIGJhcnMgcG9pbnRlZCBoaXMgZmluZ2VyIGF0IG1lIQpXaGF0IGRpZCBBbGJlcnQgdGhhdCBiYXN0YXJkIGRvPyE=,,,,,TW9zdHJlIGEgZWxlIGEgcGVsdWdlbSBkYSBjcmluYS4=,,W0pvaG5ueSBKYW1lc10KwqFFbCB0aXBvIHF1ZSBtZSBtaXJhYmEgZGVzZGUgZnVlcmEgZGUgbG9zIGJhcnJvdGVzIG1lIGFwdW50w7MgY29uIGVsIGRlZG8hCsKhwr9RdcOpIGhpem8gQWxiZXJ0IGVzZSBiYXN0YXJkbz8h
4lIqDA,,U2hvdyBoaW0gdGhlIG1hbmUgZnVyLg==,,,,,W0pvaG5ueSBKYW1lc10gLi4gVGVtIGNlcnRlemEgZGUgcXVlIHJlYWxtZW50ZSBlbGltaW5vdSBvIEFsYmVydD8gQ2FzbyBjb250csOhcmlvLCBhIG1lbm9zIHF1ZSBlbGUgc2VqYSBsb3VjbywgdW0gY2FyYSBkZSBmb3JhIG51bmNhIGZhcmlhIHVtIGdlc3RvIGNvbSBhIG3Do28gY29tbyBzZSBmb3NzZSBtZSBhbHZlamFyPyE=,,TXXDqXN0cmFsZSBlbCBwZWxhamUgZGUgbGEgbWVsZW5hLg==
41IqDA,,W0pvaG5ueSBKYW1lc10KLi4gQXJlIHlvdSBzdXJlIHlvdSByZWFsbHkgdG9vayBvdXQgQWxiZXJ0PwpPdGhlcndpc2UsIHVubGVzcyBoZSdzIGNyYXp5LCB3b3VsZCBhbiBvdXRzaWRlIGd1eSBtYWtlIGEgaGFuZCBnZXN0dXJlIGxpa2UgaGUncyBnb2luZyB0byBzbmlwZSBtZT8h,,,,,W0pvaG5ueSBKYW1lc10KLi4gVGVtIGNlcnRlemEgZGUgcXVlIHJlYWxtZW50ZSBlbGltaW5vdSBvIEFsYmVydD8KQ2FzbyBjb250csOhcmlvLCBhIG1lbm9zIHF1ZSBlbGUgc2VqYSBsb3VjbywgdW0gY2FyYSBkZSBmb3JhIGZhcmlhIHVtIGdlc3RvIGNvbSBhIG3Do28gY29tbyBzZSBmb3NzZSBtZSBhbHZlamFyPyE=,,W0pvaG5ueSBKYW1lc10KLi4gwr9Fc3TDoXMgc2VndXJvIGRlIHF1ZSByZWFsbWVudGUgZWxpbWluYXN0ZSBhIEFsYmVydD8KwqHCv0RlIG90cmEgbWFuZXJhLCBhIG1lbm9zIHF1ZSBlc3TDqSBsb2NvLCB1biB0aXBvIGRlIGFmdWVyYSBoYXLDrWEgdW4gZ2VzdG8gY29uIGxhIG1hbm8gY29tbyBzaSBmdWVyYSBhIGRpc3BhcmFybWU/IQ==
5FIqDA,,U2VlbXMgdGhlIG5ld3MgaXMgc2xvdy4=,,,,,UGFyZWNlIHF1ZSBhcyBub3TDrWNpYXMgc8OjbyBsZW50YXMu,,UGFyZWNlIHF1ZSBsYXMgbm90aWNpYXMgc29uIGxlbnRhcy4=
5VIqDA,,W0pvaG5ueSBKYW1lc10KLi4uSXMgdGhhdCBzby4gU28geW91IGNhbWUgaGVyZSByaWdodCBhZnRlciB0YWtpbmcgb3V0IEFsYmVydD8KVGhhdCBndXkgc3RpbGwgZG9lc24ndCBrbm93IHRoZSBmYWN0Pw==,,,,,W0pvaG5ueSBKYW1lc10KLi4uw4kgbWVzbW8uIEVudMOjbyB2b2PDqiB2ZWlvIGFxdWkgbG9nbyBkZXBvaXMgZGUgZWxpbWluYXIgbyBBbGJlcnQ/CkFxdWVsZSBjYXJhIGFpbmRhIG7Do28gc2FiZSBkbyBmYXRvPw==,,W0pvaG5ueSBKYW1lc10KLi4uwr9FcyBhc8OtPyAKwr9FbnRvbmNlcyB2aW5pc3RlIGFxdcOtIGp1c3RvIGRlc3B1w6lzIGRlIGVsaW1pbmFyIGEgQWxiZXJ0PwrCv0VzZSB0aXBvIHRvZGF2w61hIG5vIHNhYmUgZWwgaGVjaG8/
5lIqDA,,W0pvaG5ueSBKYW1lc10KT2theSwgdGhhdCBtYWtlcyBzZW5zZSB0aGVuLgpJZiBJIGdldCBvdXQgb2YgaGVyZSwgSSdsbCB1c2UgdGhhdCBndXkgYXMgYSBzYWNyaWZpY2UgZm9yIEFsYmVydCdzIGZ1bmVyYWwuCkhlaGVoZWg=,,,,,W0pvaG5ueSBKYW1lc10KT2ssIGlzc28gZmF6IHNlbnRpZG8gZW50w6NvLgpTZSBldSBzYWlyIGRhcXVpLCB1c2FyZWkgYXF1ZWxlIGNhcmEgY29tbyBzYWNyaWbDrWNpbyBwYXJhIG8gZnVuZXJhbCBkbyBBbGJlcnQuCkhlaGVoZWg=,,W0pvaG5ueSBKYW1lc10KT2ssIGVzbyB0aWVuZSBzZW50aWRvIGVudG9uY2VzLgpTaSBzYWxnbyBkZSBhcXXDrSwgdXNhcsOpIGEgZXNlIHRpcG8gY29tbyBzYWNyaWZpY2lvIHBhcmEgZWwgZnVuZXJhbCBkZSBBbGJlcnQuCkplamVqZWo=
51IqDA,,W0pvaG5ueSBKYW1lc10KVGhhdCBiZXRyYXllciBhbHdheXMgYm9hc3RlZCBoZSdkIGxpdmUgbG9uZ2VyIHRoYW4gbWUsCmJ1dCBpbiB0aGUgZW5kLCBoZSdzIGdvaW5nIGZpcnN0IQ==,,,,,W0pvaG5ueSBKYW1lc10KQm9tLCBjb21vIHByb21ldGlkbywgdm91IHRlIGNvbnRhciBhIGxvY2FsaXphw6fDo28gZG8gbWluw6lyaW8uCk8gbWluw6lyaW8gZXN0w6EgXjRENERGRnNvYiBvIGVsZXZhZG9yIG5vIHN1YnNvbG8gMsK6IGFuZGFyIGRhIG1pbmFeMDAwMDAwLgpFdSBxdWVicmVpIG8gZWxldmFkb3IgZGVsaWJlcmFkYW1lbnRlIGUgZGVpeGVpIG8gbWluw6lyaW8gZW1iYWl4by4=,,W0pvaG5ueSBKYW1lc10KRXNlIHRyYWlkb3Igc2llbXByZSBhbGFyZGVhYmEgZGUgcXVlIHZpdmlyw61hIG3DoXMgcXVlIHlvLArCoXBlcm8gYWwgZmluYWwsIHNlIHZhIHByaW1lcm8h
6FIqDA,,W0pvaG5ueSBKYW1lc10KR29vZCwgYXMgcHJvbWlzZWQsIEknbGwgdGVsbCB5b3UgdGhlIG9yZSdzIGxvY2F0aW9uLgpUaGUgb3JlIGlzIF40RDRERkZ1bmRlciB0aGUgZWxldmF0b3Igb24gdGhlIG1pbmUncyB1bmRlcmdyb3VuZCAybmQgZmxvb3JeMDAwMDAwLgpJIGRlbGliZXJhdGVseSBicm9rZSB0aGUgZWxldmF0b3IgYW5kIGxlZnQgaXQgdW5kZXIgdGhlcmUu,,,,,W0pvaG5ueSBKYW1lc10KQm9tLCBjb21vIHByb21ldGlkbywgdm91IHRlIGNvbnRhciBhIGxvY2FsaXphw6fDo28gZG8gbWluw6lyaW8uCk8gbWluw6lyaW8gZXN0w6EgXjRENERGRnNvYiBvIGVsZXZhZG9yIG5vIHN1YnNvbG8gMsK6IGFuZGFyIGRhIG1pbmFeMDAwMDAwLgpFdSBxdWVicmVpIG8gZWxldmFkb3IgZGVsaWJlcmFkYW1lbnRlIGUgZGVpeGVpIGVtYmFpeG8gbMOhLg==,,W0pvaG5ueSBKYW1lc10KQmllbiwgY29tbyBwcm9tZXTDrSwgdGUgZGlyw6kgbGEgdWJpY2FjacOzbiBkZWwgbWluZXJhbC4KRWwgbWluZXJhbCBlc3TDoSBeNEQ0REZGZGViYWpvIGRlbCBlbGV2YWRvciBlbiBlbCBzdWJzdWVsbyAyIGRlIGxhIG1pbmFeMDAwMDAwLgpEZWxpYmVyYWRhbWVudGUgcm9tcMOtIGVsIGVsZXZhZG9yIHkgbG8gZGVqw6kgZGViYWpvLg==
6VIqDA,,W0pvaG5ueSBKYW1lc10KSWYgeW91IHdhbnQgdG8gYnJpbmcgdGhlIHJvY2ssIHlvdSB3ZWFrbGluZ3Mgd2lsbCBoYXZlIHRvIHVzZSBzb21lIHN0cmVuZ3RoLgpTdWZmZXIgYSBiaXQuCkFuZCBnbyB0ZWxsIHRoYXQgc2hlcmlmZiBndXkgY2xlYXJseSB0aGF0IEkgY29vcGVyYXRlZC4=,,,,,W0pvaG5ueSBKYW1lc10KVHJhZ2EgbyBwZWxvIGRhIGNyaW5hIGRlbGUgYWdvcmEgbWVzbW8hISE=,,W0pvaG5ueSBKYW1lc10KU2kgcXVpZXJlcyB0cmFlciBsYSByb2NhLCB1c3RlZGVzIGTDqWJpbGVzIHRlbmRyw6FuIHF1ZSB1c2FyIGFsZ28gZGUgZnVlcnphLgpTdWZyYW4gdW4gcG9jby4KWSB2ZSBhIGRlY2lybGUgY2xhcmFtZW50ZSBhIGVzZSB0aXBvIHNoZXJpZmYgcXVlIHlvIGNvb3BlcsOpLg==
6lIqDA,,W0pvaG5ueSBKYW1lc10KQnJpbmcgbWUgaGlzIG1hbmUgZnVyIHJpZ2h0IG5vdyEhIQ==,,,,,W0pvaG5ueSBKYW1lc10KVHJhZ2EgbyBwZWxvIGRhIGp1YmEgZGVsZSBhZ29yYSBtZXNtbyEhIQ==,,W0pvaG5ueSBKYW1lc10KwqHCocKhVHLDoWVtZSBzdSBwZWxhamUgZGUgbWVsZW5hIGFob3JhIG1pc21vISEh
61IqDA,,W0pvaG5ueSBKYW1lc10KSWYgSSBjYW4ganVzdCBnZXQgb3V0IG9mIGhlcmUuLi4KR3JyLi5oZWhlaGVoLi4gSSB3aWxsLi4gZGVmaW5pdGVseSBnZXQgcmV2ZW5nZSBmb3IgdGhpcyBodW1pbGlhdGlvbi4uLg==,,,,,W0pvaG5ueSBKYW1lc10KU2UgZXUgcHVkZXNzZSBzYWlyIGRhcXVpLi4uCkdyci4uaGVoZWhlaC4uIGV1IHZvdS4uIGRlZmluaXRpdmFtZW50ZSBtZSB2aW5nYXIgcG9yIGVzdGEgaHVtaWxoYcOnw6NvLi4u,,W0pvaG5ueSBKYW1lc10KU2kgdGFuIHNvbG8gcHVkaWVyYSBzYWxpciBkZSBhcXXDrS4uLgpHcnIuLmplamVqZWouLiBEZWZpbml0aXZhbWVudGUuLiBtZSB2ZW5nYXLDqSBkZSBlc3RhIGh1bWlsbGFjacOzbi4uLg==
7FIqDA,,W0pvaG5ueSBKYW1lc10KV2h5IGlzIHRoZXJlIHN0aWxsIG5vIG5ld3M/CkknbSBub3QgdGhhdCBwYXRpZW50Lg==,,,,,W0pvaG5ueSBKYW1lc10KUG9yIHF1ZSBhaW5kYSBuw6NvIGjDoSBub3TDrWNpYXM/CkV1IG7Do28gc291IHTDo28gcGFjaWVudGUu,,W0pvaG5ueSBKYW1lc10Kwr9Qb3IgcXXDqSB0b2RhdsOtYSBubyBoYXkgbm90aWNpYXM/Ck5vIHNveSB0YW4gcGFjaWVudGUu
7VIqDA,,W0l2b2thIFNrdWRpXQooTG93ZXJpbmcgdm9pY2UpIEhlIHdhcyBzaW1wbGVyIHRoYW4gSSB0aG91Z2h0LiBMZXQncyBnbyByZXBvcnQgdG8gdGhlIHNoZXJpZmYu,,,,,W0l2b2thIFNrdWRpXQoqU3Vzc3VycmFuZG8qIEVsZSBmb2kgbWFpcyBmw6FjaWwgZG8gcXVlIGV1IHBlbnNhdmEuIFZhbW9zIHJlcG9ydGFyIGFvIHhlcmlmZS4=,,W0l2b2thIFNrdWRpXQooQmFqYW5kbyBsYSB2b3opIEZ1ZSBtw6FzIHNpbXBsZSBkZSBsbyBxdWUgcGVuc2FiYS4gClZhbW9zIGEgaW5mb3JtYXIgYWwgc2hlcmlmZi4=
7lIqDA,,U2hhd24gTWNDdXJkeQ==,,,,,U2hhd24gTWNDdXJkeQ==,,U2hhd24gTWNDdXJkeQ==
71IqDA,,W1NoYXduIE1jQ3VyZHldCkl0J3MgYSBiaWcgcHJvYmxlbSB0aGF0IHdlIGNhbid0IHdvcmsgaW4gdGhlIG1pbmUgZm9yIGEgd2hpbGUuCldlIG5lZWQgdG8gZmluZCBhIHdheSBzb21laG93Li4uCkl0J3MgYWxsIGJlY2F1c2Ugb2YgdGhlIFNtYWxsIEJhbmRpdCBHcm91cCwgSSBzdXBwb3NlLg==,,,,,W1NoYXduIE1jQ3VyZHldCk9oISBWb2PDqiDDqSBxdWVtIGRpemVtIHF1ZSBwb2RlIHNlIHRvcm5hciBvIGZ1dHVybyBwcmVmZWl0by4KT2zDoSEgRXUgc291IG8gY2FwYXRheiwgU2hhd24gTWNDdXJkeS4KQXBlbmFzIG1lIGNoYW1lIGRlIFNoYXduLg==,,W1NoYXduIE1jQ3VyZHldCkVzIHVuIGdyYW4gcHJvYmxlbWEgcXVlIG5vIHBvZGFtb3MgdHJhYmFqYXIgZW4gbGEgbWluYSBwb3IgdW4gdGllbXBvLgpOZWNlc2l0YW1vcyBlbmNvbnRyYXIgdW5hIG1hbmVyYSBkZSBhbGd1bmEgbWFuZXJhLi4uClN1cG9uZ28gcXVlIHRvZG8gZXMgcG9yIGN1bHBhIGRlbCBQZXF1ZcOxbyBncnVwbyBkZSBiYW5kaWRvcy4=
8FIqDA,,W1NoYXduIE1jQ3VyZHldCk9oISBZb3UncmUgdGhlIGFkdmVudHVyZXIgcnVtb3JlZCB0byBwb3NzaWJseSBiZWNvbWUgdGhlIGZ1dHVyZSBtYXlvci4KSGVsbG8hIEknbSBmb3JlbWFuIFNoYXduIE1jQ3VyZHkuCkp1c3QgY2FsbCBtZSBTaGF3bi4=,,,,,W1NoYXduIE1jQ3VyZHldCk9oISBWb2PDqiDDqSBxdWVtIGRpemVtIHF1ZSBwb2RlIHNlIHRvcm5hciBvIGZ1dHVybyBwcmVmZWl0by4KT2zDoSEgRXUgc291IG8gY2FwYXRheiBTaGF3biBNY0N1cmR5LgpBcGVuYXMgbWUgY2hhbWUgZGUgU2hhd24u,,W1NoYXduIE1jQ3VyZHldCsKhT2ghIEVyZXMgZWwgdHJvdGFtdW5kb3MgZGVsIHF1ZSBzZSBydW1vcmVhIHF1ZSBwb2Ryw61hIGNvbnZlcnRpcnNlIGVuIGVsIGZ1dHVybyBhbGNhbGRlLgrCoUhvbGEhIFNveSBlbCBjYXBhdGF6IFNoYXduIE1jQ3VyZHkuClNvbG8gbGzDoW1hbWUgU2hhd24u
8VIqDA,,W1NoYXduIE1jQ3VyZHldCllvdSBtZXQgU2hlcmlmZiBXeWF0dCBhbmQgaGVhcmQgZXZlcnl0aGluZywgcmlnaHQ/CkkgaGVhcmQgeW91J3JlIGdvaW5nIGFyb3VuZCBmb3IgbmVnb3RpYXRpb25zIG5vdy4=,,,,,W1NoYXduIE1jQ3VyZHldClZvY8OqIGVuY29udHJvdSBvIFhlcmlmZSBXeWF0dCBlIG91dml1IHR1ZG8sIGNlcnRvPwpPdXZpIGRpemVyIHF1ZSB2b2PDqiBlc3TDoSBhbmRhbmRvIHBvciBhw60gcGFyYSBuZWdvY2lhw6fDtWVzIGFnb3JhLg==,,W1NoYXduIE1jQ3VyZHldCkNvbm9jaXN0ZSBhbCBTaGVyaWZmIFd5YXR0IHkgZXNjdWNoYXN0ZSB0b2RvLCDCv3ZlcmRhZD8KRXNjdWNow6kgcXVlIGFob3JhIGVzdMOhcyBkYW5kbyB2dWVsdGFzIHBhcmEgbGFzIG5lZ29jaWFjaW9uZXMu
8lIqDA,,W1NoYXduIE1jQ3VyZHldCkVzcGVjaWFsbHkgc2VlbXMgbGlrZSB5b3UncmUgc3RydWdnbGluZyBiZWNhdXNlIG9mIHRoZSBtaW5lIHRoZSBTbWFsbCBCYW5kaXQgR3JvdXAgb2NjdXBpZWQsCmJ1dCBJIHRoaW5rIEkgaGF2ZSBhIHdlYXBvbiB0aGF0IGNhbiBoaXQgdGhhdCBBbGJlcnQgRm9yZCBndXkgaGFyZC4=,,,,,W1NoYXduIE1jQ3VyZHldClBhcmVjZSBxdWUgdm9jw6ogZXN0w6EgbHV0YW5kbyBwb3IgY2F1c2EgZGEgbWluYSBxdWUgb3MgQsO6ZmFsb3MgQmFuZGlkb3Mgb2N1cGFyYW0sCm1hcyBhY2hvIHF1ZSB0ZW5obyB1bWEgYXJtYSBxdWUgcG9kZSBhdGluZ2lyIGFxdWVsZSBjYXJhIEFsYmVydCBGb3JkIGZvcnRlbWVudGUu,,W1NoYXduIE1jQ3VyZHldClBhcmVjZSBxdWUgZXNwZWNpYWxtZW50ZSBlc3TDoXMgbHVjaGFuZG8gcG9yIGxhIG1pbmEgcXVlIG9jdXDDsyBlbCBQZXF1ZcOxbyBncnVwbyBkZSBiYW5kaWRvcywKcGVybyBjcmVvIHF1ZSB0ZW5nbyB1biBhcm1hIHF1ZSBwdWVkZSBnb2xwZWFyIGZ1ZXJ0ZSBhIGVzZSB0aXBvIEFsYmVydCBGb3JkLg==
81IqDA,,V2hhdCBpcyBpdD8=,,,,,TyBxdWUgw6k/,,wr9RdcOpIGVzPw==
